Mode_SameHeroDraft												Same Hero Draft
Ability_Artesia4_description_simple 							Target a location to summon a Projection for ^o20 seconds^* that grants nearby ally heroes ^o{20,30,40} Health^* or ^oMana^* per second in Healing or Damage Mode, respectively.\n\nIn addition, it will mirror your ^494Arcane Missile^* casts and gain charges of ^494Arcane Bolts^* as you do.\n\nThe Projection ^ocan be moved^* on an 8 second cooldown.\n\n^gStaff of the Master^* increases cast range to Global, reduces cooldown to 60 seconds, and reduces the relocation cooldown to 4 seconds (+2 seconds if too close to enemy Well).
State_Circe_Ability1_Immobilized_name							Entrapment
State_Circe_Ability1_Immobilized_description					
State_Circe_Ability1_Immobilized_description2					
State_Circe_Ability1_Immobilized_description_simple				
State_Circe_Ability1_Immobilized_FRAME_effect					On expiration, jumps to the nearest enemy hero within 350 units, dealing {80,140,200,260} Magic Damage and Immobilize for {2,2.5,3,3.5} seconds.
Ability_Cthulhuphant1_description2:ult_boost					\r
Ability_Cthulhuphant1_description_simple:ult_boost				Charge in target direction, dealing ^o{80,140,200,260} Magic Damage^* and a ^o{1.25,1.5,1.75,2} second Stun^* to enemy units.\n\nNon-hero units hit will be shot forward, acting as projectiles that deal ^o{12,16,20,24} Magic Damage^* and a ^o{1.25,1.5,1.75,2} second Stun^* to enemy heroes.
Ability_Cthulhuphant2_description2:ult_boost					^gThis ability can be boosted by Staff of the Master.^*\n\n^gStaff Effect:^* Reduces cooldown by 3 seconds.							
Ability_Cthulhuphant2_description_simple:ult_boost				Unleash a salvo of water pulses in front of you every second for ^o4 seconds^*.\n\nDamage from each pulse starts at ^o{30,40,50,60} Magic Damage^* and deals an additional ^o{5,10,15,20} Magic damage^* every second. Max total Magic Damage of ^o{200,300,400,500}^*.
Ability_Cthulhuphant3_name:ult_boost							^gTimes of the End^*
Ability_Cthulhuphant3_description2:ult_boost					^gWhenever you deal damage to an enemy hero with Trample, Obliterate or Dreams of Madness, your Strength increases by 2 for 24 seconds. This effect stacks, but each stack has a separate timer.^*								
Ability_Cthulhuphant3_description_simple:ult_boost				Whenever you receive non-DoT Physical Damage from an enemy within radius, you deal ^oPhysical Damage to the attacker^* equal to ^o{20,30,40,50}% of your Strength^* (2x to non-hero units, 0.33x power from illusions).\n\nAttackers also have -{30,40,50,60}% Healing Received for 0.1 seconds upon attacking you. Gain ^o{5,10,15,20} Health Regeneration per second for 2 seconds^* upon receiving damage from the front.\n\n^gIncreases your Strength by 2 for 24 seconds whenever you deal damage to an enemy hero with Trample, Obliterate or Dreams of Madness. This effect stacks, but each stack has a separate timer.^*
State_Ctuhlhuphant_Ability3_Strength_name						Times of the End
Ability_Deadwood2_name:ult_boost								^gOakbolt*^*
Ability_Deadwood2_description:ult_boost							Deadwood ^gpermanently holds a tree, that^* he can throw at an enemy ^g(without losing it)^*, mini-stunning and snaring them.
Ability_Deadwood2_description2:ult_boost						^gAttacks now deal 50% Physical Splash Damage in a radius around the target^*
